11:47:58 AM	I1 A2 - Same As 2X - BPGHS 101 2010	Y=	Function	Math 1	Math 2	Math 3	Social 1	Social 2	Social 3	Hit/No Hit	ALL
0	[tzt101]	Y1	2X	S			N			HIT	ALL
37	[hyx101]	Y1	2X	S			N			HIT	ALL
40	[nsq101]	Y1	X*2	VASM			N			HIT	ALL
43	[ywj101]	Y1	-20	SNO			N			NO-HIT	ALL
56	[gmf101]	Y1	2X	S			N			HIT	ALL
56	[lah101]	Y1	2X	S			N			HIT	ALL
58	[csh101]	Y1	2X	S			N			HIT	ALL
59	[tjs101]	Y1	X*2	VASM			N			HIT	ALL
60	[kjg101]	Y1	3*0.3	SNO			N			NO-HIT	ALL
61	[txl101]	Y1	2X	S			N			HIT	ALL
62	[mkw101]	Y1	2X	S			N			HIT	ALL
69	[ljl101]	Y1	2X	S			N			HIT	ALL
72	[lwj101]	Y1	2X	S			N			HIT	ALL
82	[tzt101]	Y2	9X	SNO			N			NO-HIT	ALL
84	[cgh101]	Y2	0	SNO			N			NO-HIT	ALL
84	[ywx101]	Y1	2X	S			N			HIT	ALL
85	[cgh101]	Y1	02X	S			N			HIT	ALL
92	[kjg101]	Y1	2X	S			N			HIT	ALL
93	[gmf101]	Y1	87	SNO			N			NO-HIT	ALL
97	[lss101]	Y1	X*2	VASM			N			HIT	ALL
99	[cyr101]	Y2	0	SNO			N			NO-HIT	ALL
99	[cyr101]	Y3	0	SNO			N			NO-HIT	ALL
99	[cyr101]	Y1	2X	S			N			HIT	ALL
100	[txl101]	Y1	4X	S			N			NO-HIT	ALL
103	[axy101]	Y1	2X	S			N			HIT	ALL
103	[lec101]	Y1	2X	S			N			HIT	ALL
105	[fnz101]	Y1	X*2	VASM			N			HIT	ALL
106	[gmf101]	Y1	6X	SNO			N			NO-HIT	ALL
112	[lah101]	Y1	3	SNO			N			NO-HIT	ALL
112	[txl101]	Y1	2X	S			N			HIT	ALL
118	[tmj101]	Y2	0	SNO			N			NO-HIT	ALL
118	[tmj101]	Y1	6	SNO			N			NO-HIT	ALL
118	[ljl101]	Y1	3X	SNO			N			NO-HIT	ALL
120	[nar101]	Y1	X*2	VASM			N			HIT	ALL
121	[ywx101]	Y1	9X	SNO			N			NO-HIT	ALL
130	[ljl101]	Y1	15	SNO			N			NO-HIT	ALL
130	[cgh101]	Y1	00X	SNO			N			NO-HIT	ALL
130	[ywj101]	Y1	X*2	VASM			N			HIT	ALL
132	[tmt101]	Y1	X*2	VASM			N			HIT	ALL
133	[lzh101]	Y1	2X	S			N			HIT	ALL
134	[ywx101]	Y1	999X	SNO			N			NO-HIT	ALL
134	[fbr101]	Y1	X*2	VASM			N			HIT	ALL
135	[ljl101]	Y1	14	SNO			N			NO-HIT	ALL
135	[csh101]	Y1	4X/2	R			N			HIT	ALL
138	[ljl101]	Y1	13	SNO			N			NO-HIT	ALL
138	[txl101]	Y1	1X	SNO			N			NO-HIT	ALL
141	[gmf101]	Y1	2X	S			N			HIT	ALL
142	[lec101]	Y2	4X/2	R			N			HIT	ALL
142	[lec101]	Y3	8X/4	R			N			HIT	ALL
144	[lah101]	Y1	8X	SNO			N			NO-HIT	ALL
145	[nje101]	Y1	2	SNO			N			NO-HIT	ALL
145	[nje101]	Y2	4	SNO			N			NO-HIT	ALL
145	[txl101]	Y1	2X	S			N			HIT	ALL
146	[ljl101]	Y3	11	SNO			N			NO-HIT	ALL
146	[ljl101]	Y2	12	SNO			N			NO-HIT	ALL
148	[lrw101]	Y1	2X	S			N			HIT	ALL
148	[tyk101]	Y1	2X	S			N			HIT	ALL
153	[cmk101]	Y1	X2	S			N			HIT	ALL
158	[ywx101]	Y1	3X	SNO			N			NO-HIT	ALL
158	[ywx101]	Y2	5X	SNO			N			NO-HIT	ALL
158	[ywx101]	Y3	7X	SNO			N			NO-HIT	ALL
160	[ljl101]	Y3	8	SNO			N			NO-HIT	ALL
161	[ljl101]	Y2	9	SNO			N			NO-HIT	ALL
162	[ljl101]	Y1	10	SNO			N			NO-HIT	ALL
162	[lhm101]	Y2	4X	SNO			N			NO-HIT	ALL
162	[lhm101]	Y3	6X	SNO			N			NO-HIT	ALL
163	[lhm101]	Y1	2X	S			N			HIT	ALL
163	[vth101]	Y1	X*2	VASM			N			HIT	ALL
163	[wxy101]	Y1	X*2	VASM			N			HIT	ALL
170	[nyh101]	Y1	X2	S			N			HIT	ALL
171	[khy101]	Y1	2X	S			N			HIT	ALL
171	[ljl101]	Y1	2X	S			N			HIT	ALL
174	[lah101]	Y1	2X	S			N			HIT	ALL
176	[csh101]	Y1	(1000X/500)+99-99	A0	R		MT	BN		HIT	ALL
178	[fd101]	Y3	(50/25)X	ASMD			N			HIT	ALL
178	[fd101]	Y2	15X-13X	VASM			N			HIT	ALL
179	[fd101]	Y1	2X	S			N			HIT	ALL
186	[cmk101]	Y1	X	SNO			N			NO-HIT	ALL
192	[ywx101]	Y3	6X	SNO			N			NO-HIT	ALL
193	[ywx101]	Y1	2X	S			N			HIT	ALL
193	[ywx101]	Y2	4X	S			N			NO-HIT	ALL
194	[cmk101]	Y1	1	SNO			N			NO-HIT	ALL
196	[nas101]	Y1	X*2	VASM			N			HIT	ALL
198	[tmj101]	Y1	(2^2)	SNO			N			NO-HIT	ALL
208	[cmk101]	Y1	X2	S			N			HIT	ALL
209	[ljl101]	Y1	-15	SNO			N			NO-HIT	ALL
215	[tzt101]	Y2	0.5X	S			N			NO-HIT	ALL
216	[ljl101]	Y1	2X	S			N			HIT	ALL
219	[cmk101]	Y1	X5	SNO			N			NO-HIT	ALL
498	[ljl101]	Y1	X*X	VASM			N			NO-HIT	ALL
515	[ljl101]	Y1	(X^2)	S			N			NO-HIT	ALL
523	[nsq101]	Y3	X/10*20	R			N			HIT	ALL
523	[nsq101]	Y2	X/2*4	R			N			HIT	ALL
528	[ljl101]	Y1	13	SNO			N			NO-HIT	ALL
531	[lwj101]	Y2	4X	S			N			NO-HIT	ALL
534	[lec101]	Y3	(1000X/10)*3/150	R			MT			HIT	ALL
534	[lec101]	Y2	1X2	S			N			HIT	ALL
534	[mkw101]	Y2	X*2	VASM			N			HIT	ALL
534	[mkw101]	Y3	X+X	VASM			N			HIT	ALL
537	[khy101]	Y3	1998X/999	R			BN			HIT	ALL
537	[khy101]	Y2	4X/2	R			N			HIT	ALL
542	[ljl101]	Y1	2*X	VASM			N			HIT	ALL
545	[ywx101]	Y2	4X-2X	VASM			N			HIT	ALL
545	[ywx101]	Y3	6X-4X	VASM			N			HIT	ALL
548	[tmj101]	Y3	X*(1+1)	ASMD			N			HIT	ALL
548	[tmj101]	Y2	X*2	VASM			N			HIT	ALL
549	[tmj101]	Y1	2X	S			N			HIT	ALL
549	[ljl101]	Y1	X*X	VASM			N			NO-HIT	ALL
551	[lwj101]	Y3	6X	SNO			N			NO-HIT	ALL
556	[txl101]	Y1	2*2	SNO			N			NO-HIT	ALL
556	[txl101]	Y2	2*2*2	SNO			N			NO-HIT	ALL
564	[csh101]	Y2	((1000X/500)-69875+69875)+999999999-999999999	A0	R		BN	MT		HIT	ALL
566	[cyr101]	Y3	6X/3	R			N			HIT	ALL
566	[cyr101]	Y2	7X+4X-9X	VASM			N			HIT	ALL
568	[cyw101]	Y2	10000X/5000	R			BN			HIT	ALL
568	[cyw101]	Y3	10X-8X	VASM			N			HIT	ALL
568	[cyw101]	Y1	2X	S			N			HIT	ALL
569	[ljl101]	Y1	X2	S			N			HIT	ALL
579	[mkw101]	Y2	10000X-99998X	VASM			BN			NO-HIT	ALL
580	[axy101]	Y2	X/1000*4000/2	R			BN			HIT	ALL
580	[axy101]	Y3	X2	S			N			HIT	ALL
587	[lss101]	Y2	(8-9+6-3)X	ASMD			MT			HIT	ALL
587	[lss101]	Y3	(X-X)+X*2	VASM			MT			HIT	ALL
589	[kjg101]	Y3	100X/25/2	R			N			HIT	ALL
589	[cmk101]	Y2	2X	S			N			HIT	ALL
589	[kjg101]	Y2	4X-2X*2+1X*2	VASM			MT			HIT	ALL
589	[cmk101]	Y3	547-4-4-4-45*0+2X	M0			MT			NO-HIT	ALL
590	[cmk101]	Y1	X2	S			N			HIT	ALL
592	[nje101]	Y1	2X	S			N			HIT	ALL
592	[nyh101]	Y3	8*5*48-5*9-8+2*8-6*0+2X	M0			MT			NO-HIT	ALL
592	[nje101]	Y3	95X-6X+87	VASM			N			NO-HIT	ALL
592	[nje101]	Y2	X+X	VASM			N			HIT	ALL
592	[nyh101]	Y2	X2	S			N			HIT	ALL
593	[nyh101]	Y1	2X	S			N			HIT	ALL
610	[ywx101]	Y3	3X-5X	VASM			N			NO-HIT	ALL
616	[lah101]	Y3	22222222222222222222-22222222222222222220X	S			BN			NO-HIT	ALL
620	[txl101]	Y2	3X	SNO			N			NO-HIT	ALL
653	[nje101]	Y3	2X+X+5X-6X	VASM			MT			HIT	ALL
661	[vth101]	Y2	16X*2/16	R1			N			HIT	ALL
664	[cmk101]	Y3	79*794*797*5*0+2X	M0			MT			HIT	ALL
666	[tmt101]	Y2	1200X/3/200	R			BN			HIT	ALL
668	[ljl101]	Y1	X*(1+2-1+1-1+1-1+1-1+1-1+1-1+1-1+1-1)	A0			MT			HIT	ALL
670	[tzt101]	Y2	(1+2+3+4+5+6+7+8+9)-(9+8+7+6+5+4+3+2+1)+(1*2X)	A0			MT			HIT	ALL
670	[mkw101]	Y3	100000000X-50000000	S			BN			NO-HIT	ALL
670	[tmt101]	Y1	2X	S			N			HIT	ALL
670	[vth101]	Y1	2X	S			N			HIT	ALL
670	[nar101]	Y2	400X/200	R			N			HIT	ALL
670	[ywx101]	Y2	4X-9X	VASM			N			NO-HIT	ALL
670	[txl101]	Y1	9X	SNO			N			NO-HIT	ALL
670	[tjs101]	Y3	X*(2*1+1-1)	ASMD			MT			HIT	ALL
671	[tjs101]	Y2	1*2*X	VASM			N			HIT	ALL
671	[nsq101]	Y2	X*10/5	ASMD			N			HIT	ALL
672	[vth101]	Y3	100000X/50000	R			BN			HIT	ALL
673	[nas101]	Y2	8X/4	R			N			HIT	ALL
673	[nas101]	Y3	9X-8X+1X	VASM			N			HIT	ALL
673	[nar101]	Y3	X+X	VASM			N			HIT	ALL
674	[mkw101]	Y3	100000000X/50000000	R			BN			HIT	ALL
681	[ywx101]	Y1	9X-19X	SNO			N			NO-HIT	ALL
686	[lhm101]	Y2	(X+X-X)*2	VASM			MT			HIT	ALL
687	[lxj101]	Y3	2X	S			N			HIT	ALL
689	[axy101]	Y3	2000/1000*X	ASMD			BN			HIT	ALL
693	[lxj101]	Y2	((X^2)-(X^2))+X2	A0			N			HIT	ALL
693	[lah101]	Y2	2-2+2-2+2-2+2-2+2-2+2-2+2-2+2-2+2-2+2-2+2-2+2-2+2X	A0			MT			HIT	ALL
694	[lxj101]	Y1	(17X-15X)+4X-6X+2X	A0			MT			HIT	ALL
697	[lec101]	Y2	7404X/24*8/1234	R			MT			HIT	ALL
700	[fnz101]	Y3	100X*2/10/10*4/2/2	R1			MT			HIT	ALL
701	[fnz101]	Y2	0.5X*2/4*8	VASM			MT			HIT	ALL

